AVALIANDO -&gt	 rejeitando artistas" d milhares d MILHÕES -&gt
porra, este final d louçã foi mto bem esgalhado. treinou bem isto e esta do 'é entre si e...' mto bem pensada.	
RT @ChicodeOeiras: @dita_dura @fcancio @G_L esperem para ver o Louçã arrasar o Sócrates nas urnas eheh	
RT @FatimaRD: Louçã 12 pontos / Coelho descoelhado. Judite pirosona.	
RT @fcancio: porra, este final d louçã foi mto bem esgalhado. treinou bem isto e esta do 'é entre si e...' mto bem pensada.	
@jorgelc quando é o nosso clube, é difícil ser-se imparcial. :) Mas descontando a clubite, acho que o Louçã ganhou. Vale o que vale. :)	
@LuisTebosa Ganhou o Louçã.	
#debate louçã muito bem, agora portas vai levar na corneta	
#debate Louçã tem mais paciência que o Domingos do Braga	
#Debate o Louçã conseguiu encurralar Portas, lutam pelo título da protecção social.... Ñ saímos disto??	
#debate parece q o louçã deu um baile ao sr das pensões dos ex-combatentes	
#debate Portas muito abaixo do habitual, Louçã ligeiramente acima	
#debate Ricardo Costa diz que Louçã tem toda a razão na restruturação da dívida	
#SOCRATES CAMPEÃO DA TWITTOSFERA http://t.co/HHKUUV0 via @AddThis	
À muito tempo que não concordava com o Sócrates. Concordo que no dia 5 é mesmo a sério.	
Aposto que o  BE sobe nas sondagens  desde os últimos debates com Louçã. #debate	
Campeonato das eleições: Paulo Portas - 10 pontos	 Passos Coelho - 6 pts
Com a história do RSI, Louçã está a esmagar Portas. Não antecipava isto. #debate	
E a pancada do Louçã no Portas? :D	
É hoje que o Louçã vai afundar o Paulo Portas! Ops! queria dizer desancar. Falo em Paulo Portas e vem-me à cabeça, água, submarinos :S	
E o Louçã está a cilindrar o Portas com o RSI #debate	
E o Portas já terá recuperado da tareia que o Louçã lhe aplicou ontem?	
Eh Eh O Louçã tem o higher ground jedi quando aborda os reformados. Rato. #debate	
Hoje Sócrates vai subir mais uns pontos nas sondagens, ninguém o pára.	
Isso só por causa da sua grande prestação hoje. Senão votavas no PSD “@ChicodeOeiras: #debate Louçã até agora tem o meu voto”	
mto bem louçã: 'degrada a cultura de solidariedade deste país'	
Nã me parece nada! 	) #buzz RT @ChicodeOeiras: #debate Louçã sabe do que fala, Portas parece um actor de uma operetta de vão de escada
Onde estão a ver isso? RT @ncosta24 RT @chicodeoeiras: RT @estrelaserrano: O Louçã está a embatucar o Portas o que não é fácil. #Debate"	
Os analistas de futebol RT @estrelaserrano: O Louçã está a embatucar o Portas o que não é fácil. #Debate"	
Porra que o Louçã está a dar uma malha no #debate. Impostos na PT :P	
Portas gava-se tanto de o CDS não ter Boys! Acabou de levar chapada" de Louçã! Recordou a substituição vergonhosa na SS por Félix!!"	
Portas parecia o Sócrates RT @Gouveia: #debate Grande momento de demagogia de Portas. Mas acredito que Louçã vai conseguir fazer melhor.	
Prognosticos para o debate de hoje? Cheira-me que #Sócrates vai rebentar a boca toda ao Roger Rabbit e ficar com a Jessica só para ele...	
Qual é a cláusula de rescisão? RT @ChicodeOeiras: #deabte Louçã é o MVP destas eleições	
_O único capaz de resolver os problemas do país é José Sócrates", Paulo Fonseca"	
@Dse7e ah, então viste a porrada que ele levou do louçã. Boa, boa.	
#apombalivre : Sócrates: Ignorante é quem desconhece o Novas Oportunidades.- Este Homem vale o seu peso em Ouro #FMI	
#apombalivre: poul_thomsen: programa de portugal vai ser difícil mas terá sucesso . sim mas só se sócrates ganhar eleições. #fmi	
#apombalivre: Sócrates fez bem em ter poupado o passos,assim os blogues de direita já têm mais que a má língua para oferecer ao povo 	) #FMI
#debate até acho que o Sócrates ganhou, por pouco, mas ganhou. Fez o que quis. Acho é q o PPC estava numa fasquia mt baixa q supreendeu	
#debate O grande derrotado dos debates televisivos é José Sócrates. Foi esmagado pelo Passos Coelho, pelo Portas e pelo Louçã.	
Go Louçã! Tens o meu voto rapaz!	
josé sócrates, estou consigo até ao fim! eu tenho memória!!!	
O BE ala twitter não esconde a simpatia por Sócrates. #debate	
Sim, o Bloco de Esquerda está contra tudo e contra todos... Todos os ladrões deste país. Louçã denuncia: http://bit.ly/jpKR6w	
Sócrates possuído por Louçã :D	
só não vê quem não quer, Sócrates respondeu com responsabilidade Passos especulou! #debate	
Sem nenhuma dúvida: Sócrates venceu este debate.	
Audioboo: José Sócrates no fim de um debate que ganhou por larga maioria http://boo.fm/b362386	
#debate Sócrates conseguiu manter o debate nos seus temas. PPC apenas furou o bloqueio na gestão da questão dos juros da dívida.	
@fcancio Desta vez, não. Até apanhou Louçã... RT @fcancio: mais um gráfico marteladito?	
@bytoke  se tivessem fugido para alguém, não seria para Sócrates de certeza. Registo o ataque a Portas em favor de PPC.  Tb é esclarecedor	
@taf Vergonha não pois não devo nada a ninguém ( para já) e tb não voto Sócrates com palas, mas não sou anti Sócrates	
#debate PP a colar FL a Sócrates. Agora aposto que sai um soudbite do louçã!	
#debate Tenho dúvidas que Louçã impeça o voto útil no PS, Sócrates agradece, o BE será o partido mais penalizado dia 5	
A Portas até faltou o ar ao ouvir Louçã projectar a bancarrota para daqui a um ano	 acabasse aí o debate e teria conquistado mais um eleitor
ahahahaha O #CDS é o autor do Rendimento Social de Inserção (#RSI). Se funciona mal... deve-se a #portas, diz #louçã ahahaha	
Da autoridade moral: O candidato José Sócrates está agora numa de acusar os seus adversários de falta de autorid... http://bit.ly/iNbJuB	
eheh O Louçã chamou amigo a Portas?? #debate RT @ChicodeOeiras: @jsantanalopes ele n sabe do q fala imita o q os outros dizem ehehe	
MAIORIA absoluta... deita para trás --- &gt	&gt
@FantasmaDireita ACABAR com trocadilhos" embandeirados... caro  - &gt	 dou benefício da dúvida a Sócrates q já PROVOU, contra PREC//PRED! LOL"
Aventar: Quais as empresas, dr Louçã? http://kapa.biz/odg	
Olha o Louçã  a deender os comboios. Eu também defendo !	
Que bruto pá!!! RT @fcwilson: #Sócrates diz que o #PSD é radical e aventureiro.	
#Debate PPC o socas não criou 700 mil desempregados , já lá estavam 450 Mil	
RT @fcancio: sócrates trouxe para o debate factos sobre propostas d passos	 passos passa a vida a fazer insinuações
Nuno Melo em ataque cerrado a Sócrates e ao PS. o CDS sabe bem quem é o adversário. Voltamos a ser um país de emigrantes. Vergonha PS.	
Parece que o Sócrates está à beira de um esgotamento nervoso... já não pode ouvir passos de coelho nem portas a bater. *ba-dum-ch!	
Eu não.. RT @fcancio: adoro q portas diga triunvirato.	
Isso é a favor dele ou contra? RT @sasealves: ele já foi taxista “@pfigas: Scenic de 7 lugares RT @G_L: Se Portas fosse mesmo profissional	
Isso não é uma acusação: é uma constatação. RT @JNegocios: Sócrates acusa líder do PSD de impreparação""	
Já percebi que os posts socráticos sobre a estrondosa vitória de Paulo Portas sobre PPC no debate de hoje foram escritos há semanas.	
keep fucking that chicken. Portas quer liderar maioria, mesmo que PS vença" http://t.co/Y5euCJ1"	
lol.nenhum partido sofre disso ñ é? -.-'  RT @cmjornal: Sócrates acuda PSD de ganância pelo poder http://bit.ly/ldEA7z	
Mas abriu a época de caça ao dep.? RT @Lusa_noticias Portas propõe reduzir deputados para 115, Passos responde que isso é irrealista	
more important than bin laden porn Portas assume objetivo de liderar Governo maioritário" http://is.gd/dpwm6h"	
Músicas da carochinha:        (Excelente cover da música interpretada hoje por Paulo Portas no final do debate d... http://bit.ly/lG6Q8Q	
Não tarda nada e o PPC chama pau de cabeleira de Sócrates a Portas.	
O contrário. RT @joaocampos85: É impressao minha ou portas esta a dar razao ao socrates acerca da TSU? #debate	
Ontem foi o Jerónimo aos beijos com Louçã, hoje foi o Portas aos beijos com PPC.Estes últimos já pensam,que o poder,está por um pintelho.	
Os disparates q se dizem, mas alg acha realmente q Portas ñ coligaria com o PS, se com este fosse possível maioria e PSD ñ!? Santa ingenuidd	
ou é remake da paixão de Guterres? @Lusa_noticias: José Sócrates apontou a Educação como "principal batalha do Governo" ""	
Ouvi dizer que o Passos Coelho e o Paulo Portas tiveram um jantar romântico ontem à noite, mas ambos só pensaram no Sócrates	
Passos Coelho até com Portas perde debates. Tss tss #fail	
Portas foi um paizinho. Dos oponentes ao PSD, o primeiro que aproveitou a imagem de PPC como o jovem" com eficácia. Cuidado com Sócrates..."	
@HenriquMonteiro lá vai o PPC perder mais uns milhares de votos.	
@ManuelDaGaita @mjoaonascimento 'Não fiquei rico nestes últimos 6 anos, logo não votarei em Sócrates'. Francamente.	
@martins_ana ñ sou fã de PPC. Mas neste momento o meu voto útil. Contra Sócrates tods os outros são melhores, mas PPC é o q pode ganhar 	)
#debate até a troika afirmou que o PEC 4 não era suficiente para resolver os problemas do país mas Sócrates continua a dizer que sim...	
#debate o imposto sobre as mais valias é uma farsa, diga Sócrates qual foi a receita deste imposto...	
#debate Para Sócrates o mal do país está na crise política. O PEV IV é igualzinho ao plano do FMI, que deve ser bom...	
#debate Sócrates começa como sempre... tudo culpa do chumbo do PEC4	
A recordar a Sócrates e PS: Estudantes indignados com entrada de aluno das Novas Oportunidades"  http://tinyurl.com/63ejj54 (via DN)"	
Afinal segundo Sócrates, é tudo uma questão de calibrar"..."	
Alô Câmara Corporativa: o Jerónimo de Sousa fez-me uma pergunta e eu gostaria de lhe responder: Tradução do memo... http://bit.ly/ljXNw5	
Conforme os dias, até Louçã já cita o FT  RT @agrandealface: #confRicardoCosta há uma influência assimétrica dos media estrangeiros em PT	
Está declarado : já pretou ! RT @arcebispo: o mais pretável não é o Passos Coelho?	
Gostei do Sócrates tratar por tu o Jerónimo de Sousa :D Ó Jerónimo eu já apresentei isto ... " :D"	
Jerónimo sai conduzido por uma mulher num renault, Sócrates sai e é conduzido por um motorista num topo de gama.	
Mais uma vez, querido o Jeronimo...RT @cvazmarques: Jerónimo magnânimo: não se pode pedir à direita que deixe de ser de direita. #debate	
Menezes: Sócrates é campeão de mudar de opinião" http://xl.pt/r/lZFAUn"	
O Dr. Portas c/ o seu silêncio sobre o PS, ainda vai ter surpresas! RT @cortafitas (post) Vou votar no PSD http://bit.ly/mafqM8	
O Passos Coelho diz que o País não precisa de Saladas Russas, mas o Fernando Nobre é uma autêntica Montanha Russa de ideais...	
Obrigado ao Jerónimo de Sousa por ter usado a palavra Sofisma""	
Ora bem: “No debate com Sócrates, e atendendo ao oceano que os separa, Passos Coelho que se prepare para um jant... http://bit.ly/jJ9zFc	
Ouvisteis? RT @Publico: Sócrates: “Quem ganha as eleições é que vai para o Governo” http://publico.pt/1494460	
Pedro Passos Coelho está completamente à vontade na rua... é claramente a sua praia" ."	
Quando sócrates fala das posições do PS, está a referir-se aos programas ou às políticas efectivamente levadas a cabo pelo governo?	
Quem ganha as eleições é que vai para o Governo": Ganhando as eleições, Sócrates não aceita ser ultrapassado po... http://bit.ly/jt4yWz"	
RT @cvazmarques: Sócrates lamenta que Jerónimo nunca tenha saudado as suas políticas. Este mau hábito que a oposição tem de ser... oposição.	
RT @DCapeloS: Tou para ver o dia em que o outro candidato vai mandar o Sócrates calar e por uma vez na vida ouvir. Só demonstra a prepot ...	
:) RT @AndreFrazao Sócrates acusa, Passos responsabiliza, Portas aponta o dedo ... #idebusfuder	
@bytoke andou a aprender co #socras parecem gemeos, a unica diferenca so mm na equipa	
@joaoqalves não te finjas de desentendido, o Sócrates não andava a prometer empregos na FP!	
@susanabarros O emídio fernando estava a perguntar se é aquele militante do PS c/ 50 anos que já pôs Sócrates a chorar 2 vezes antes.	
#apombalivre: PSD exige a Sócrates explicações sobre renegociação ruinosa" das SCUT- Está pronto.Mas e sobre o roubo PsD #Bpn nada não ?"	
#debate está visto q PPC e louçã se esqueceram quais os objectivos dos respectivos partidos. sócrates agradece	
#debate Louçã tenta corrigir, mas Passos tem certeza noq ue mostra	
#debate painel SOL dá vitória a @passoscoelho no debate com Louçã http://bit.ly/ml362P	
#debate Passos melhorou e está preparado para um Sócrates ao nível do debate com Portas. Veremos se está pronto para o animal feroz	
A forma honesta" de Sócrates abordar os problemas que criou. RT @Renascenca Desemprego “subiu 0,3%”, diz Sócrates http://dlvr.it/S6xYv"	
Ainda não percebi se Louçã fala a sério ou se ironiza #debate	
Antes do debate com Passos: Repórter do IF capta momento em que um indivíduo introduz a “cassete” em Louçã:  Um ... http://bit.ly/iGcbUv	
Até o Vitinho está de espaldas voltadas contra o Pinóquio 	) http://fb.me/IzwWGGku
Check RT @Rui_Castro: #debate está visto q PPC e louçã se esqueceram quais os objectivos dos respectivos partidos. sócrates agradece	
De Sócrates e do PS 	) RT @VitorBranco: Isso são pintelhos" :( RT @cantodojo: Desemprego em Portugal ating… (cont) http://deck.ly/~P0xaG"
Depois da Economist, Louçã cita Bagão Félix. O mundo está de pernas para o ar...	
Desemprego dispara para 12,4% http://bit.ly/iPyGec Os resultados que Sócrates tem para apresentar fruto da sua governação.	
determinado" eram os kamikaze japoneses. Sócrates também era quando prometeu 150 mil postos de trabalho http://j.mp/k8hsUT"	
E entre militantes socialistas? RT @JMF1957: Obrigado Sócrates RT @SolOnline: Taxa de desemprego nos jovens atinge 28% http://t.co/7JkqQBX	
E posto isto (as patacuadas do debate com o Louçã) o Passos Coelho ainda é o mais africano dos candidatos (sem contar com a Madeira)	
É um sinal positivo para Louçã RT @bloco: Alberto João Jardim ameaça processar Louçã http://bit.ly/kv7k8h	
Eis a solução de Sócrates para a TSU: calibrar". What?!?! #fb"	
Enver Hoxha? Não seja ignorante! Vá estudar RT @gouveia: #debate Louçã, admirador de Trotsky e Enver Hoxha, a falar de radicalismo político.	
Era o q Sócrates deveria ter feito RT @pauloferreira1: ...porque é q não se dá... um diploma do 12º cada cidadão com 18 anos? Fácil, barato	
Este #debate foi injusto, Louçã falou mais 2 segundos que PPC... bahhhh	
EU VI!!!!!!! O SÓCRATES LIMPAR UMA LÁGRIMA!!!	
Fala no cabotino RT @joaopcastro: Louçã: Nada me é indiferente na vida" Isso também é exagero..."	
falta d pachorra RT @ChicodeOeiras: se sobrarem caracteres diz q eu voto Louçã RT @taf: @ChicodeOeiras Devi… (cont) http://deck.ly/~xQ5TM	
Insulto à inteligência: Sócrates acusa Passos Coelho de insultar os portugueses das Novas Oportunidades. Tenho d... http://bit.ly/jmFbZy	
Não se pode entregar a gestão do BPN ao Louçã!? #debate E se correr mal, não se vai notar grande diferença	
O Franciso Louçã falou agora no Linékére"... famoso jogador inglês..."	
O Louçã devia fazer como o João Moutinho e mudar-se para um clube com hipóteses de ganhar o campeonato.	
ok, este já está. Os comentadores e comentadoras vão dizer que o Louçã esteve pior que nunca. Venha Paulo Portas. #debate	
ONTEM LOUÇÃ ADVOGOU MAIS SÓCRATES http://nblo.gs/hZF0d	
Ora vamos lá ver outra vez a jogada para ver se havia mesmo fora de jogo naquele contra-ataque do Louçã.	
Os analistas do debate estão com a assim levamos com o Sócrates outra vez" Face..."	
Outro que o PS vai pedir para retirar -- Homens da Luta agredidos em comício de José Sócrates, Seixal @ TVI 2009 http://t.co/zbvVmHO	
Por Louçã e os comunistas, Portugal iria viver d'ar e vento.Isso ou equilibrar as contas". #Debate #DeixaMeVerOTeuBolso #DaAlgumAquelePobre"	
PPCoelho sempre a actualizar Louçã. Judite de Sousa remata facto. #TomaLouçã #BebeAguaBebe #debate	
RT @anacarvalho2: Está lixado. RT@bossito Ahahahaha Passos não quer mais falar em NO, diz q adia isso pro #debate com Sócrates	
RT @der_terrorist: RT @esgravatar: Sócrates, até por percurso pessoal, tem um gosto, apadrinha esta educação fast-food", Manuel Maria C ..."	
RT @G_L: Ver Louçã a defender o Novas Oportunidades até me trouxe um brilhozinho nos olhos.	
[PORTUGAL DIARIO]: Portas e Louçã: até os mesmos pobres os separam:      http://bit.ly/kYERj1	
@BNunes88 O Louçã respondeu. Não teve tempo para propor merdas e cenas. #debate	
@Dputamadre o Sócrates devia ter Twitter. Não deve precisar, mas seguindo-te, ficava com a auto estima em alta:) #Dputamadrelovessocrates :p	
@nuvensdefumo já não se dizer que na plateia eram todos primos de José Sócrates é uma sorte.	
@Ritinha_ Não é deixar enrolar, é mais que o Louçã pôs-se a jeito para aquela resposta.	
#debate Louçã demonstra que PPOrtas assinou um pec da troika	
#debate Não entendo. CDS e BE não combatem o mesmo eleitorado. O que ganham em atacar-se? Ataquem o Governo (principalmente tu, Louçã)	
#debate o Louçã está a fazer olhinhos ao portas!!	
#diarioeconomico Quando Passos leva uma banana, já Sócrates traz um cacho": O coordenador do Bloco de Esquerda ... http://bit.ly/iBRasP"	
#DiárioEconómico: Quando Passos leva uma banana, já Sócrates traz um cacho" http://bit.ly/miDFl0"	
Hj os ouvintes do #forumTSF ligam a queixar-se da ausência de José Sócrates, não tem coragem pra estar aí". Onde estavam há dias atrás?"	
LOOOL que triste RT @publico: “Mais depressa se apanha um privatizador do que um mentiroso”, diz Louçã sobre Sócrates http://ow.ly/4YKD1	
ainda nao consegue. Se o desafiarem ele resolve 	) RT @helderlib: @IsabelTCruz Sócrates está em td o lado, Sóc… (cont) http://deck.ly/~ywHOP
Jornalista da SIC pergunta a uma africana no comício do PS, quem forneceu o lanche!? Re: foi o Sócrates!!!	
Olha, a SIC está a entrevistar eborenses de Odivelas e de Rio de Mouro na Praça do Giraldo #campanha Com merendas das pelo Sócrates"..."	
Ou tem o cérebro sintonizado no canal" errado... RT @DuarteMarques: Quem diz que Socrates ganhou o debate só ter visto o canal errado !"	
#jn Sócrates deu início à campanha em Matosinhos: Apesar de apenas ter início oficial no próximo dia 24 de Maio,... http://bit.ly/m4l9Ji	
#rtp Passos Coelho acusa Sócrates de fugir à realidade da recessão no primeiro trimestre do ano: O candidato do ... http://bit.ly/kgJS7m	
#sábado Acordo a debate após eleições: O duelo televisivo ontem, na SIC, entre Passos Coelho e Paulo Portas sald... http://bit.ly/mDJFFX	
#Socrates O Acossado". RT @portugalnews4u: [PORTUGAL DIARIO]: Sócrates acusa PSD de «ganância e vertigem pelo poder»: http://bit.ly/kcZxcn"	
#ViagensDoInfinito: José Sócrates deve ser severamente punido nas próximas eleições" http://bit.ly/lBvUIp #Socrates #Legislativas2011"	
#visao Conjuntura: Passos Coelho acusa Sócrates de fugir à realidade da recessão no primeiro… http://goo.gl/fb/LOrNm	
#visao Eleições: Francisco Louçã acusa Passos Coelho e Paulo Portas de dividirem o país como… http://goo.gl/fb/MRD1H"	
20. RT @barbosa_: Quando é debate Passos vs. Sócrates? Tenho que comprar pipocas.	
A questão da avaliação dos professores deve ser resolvida no início do próximo Governo - Paulo Portas	
Acordo com a troika 'não pode ser pago', diz Louçã http://nblo.gs/hPELH	
Adoro a Gracinha Franco... uma mulher da renascença... e as suas conclusões enviesadas contra Sócrates	
Ainda não o disse, mas hoje quando via o debate do Passos Coelho com o Portas senti  pena, é fraco demais...	
Ambição gradual de Passos: Ficámos a saber no debate com Paulo Portas que o PSD ambiciona baixar a TSU quatro po... http://bit.ly/j1ga2d	
Apartir do minuto 14. Análise ao debate Passos-Portas - SIC Notícias http://t.co/cx6dlxi	
Art. 148 da CRP: A AR tem o mínimo de 180 e o máximo de 230 deputados. Portas quer rever a CRP, ou então a sua proposta é inconstitucional.	
As cinco prioridades de Paulo Portas http://dlvr.it/RgcJ5	
Ate olha para o adversario! RT @G_L: Como cresce Portas sem ter Sócrates à frente, não? Impressionante.""	
Autarcas do PSD ofendidos com Paulo Portas: Os Autarcas Social Democratas insurgiram-se hoje, sábado, contra afi... http://bit.ly/iKF3uJ	
Autarcas social democratas dizem que declarações de Paulo Portas foram “ofensivas” http://publico.pt/1494140	
Belmiro de Azevedo defende redução da taxa social única para promover o crescimento  http://t.co/CyPQvtY(O sócio  Passos-Portas- Sócrates)	
Bloco envia 'tangas' a Sócrates, Passos Coelho e Portas: Depois de Durão Barroso, quando era primeiro-mini... http://tinyurl.com/4yrl5vd	
CDS quer PR a nomear entidades reguladoras - Paulo Portas comprometeu-se hoje a submeter à aprovação do Parlamento u... http://ow.ly/1cF6yY	
CDU desafia Sócrates a dizer se viabiliza projecto do aterro: A CDU pretende que o primeiro-ministro e líd... http://tinyurl.com/3fx3tpr	
Conjuntura: Passos Coelho acusa Sócrates de fugir à realidade da recessão no primeiro trimestre do ano http://ow.ly/1cEJhM	
Da salada russa: líderes do PSD e PS uniram-se na oposição a Sócrates" http://nblo.gs/hQ8zS"	
De bolsos vazios - O quase-engenheiro José Sócrates repetiu o número da pasta vazia no debate com Louçã. Depois da http://ow.ly/1cFfOg	
Debate #Passos Coelho vs Paulo #Portas: Um debate sobre o acordo após as eleições http://bit.ly/kJpDoG	
Divergências não impedem governo de coligação:       Pedro Passos Coelho e Paulo Portas mostraram ontem no debat... http://bit.ly/jdwByi	
e a do PPC demasiado azul Sócrates RT @kizapac: Desculpem esta talvez futilidade" mas a gravata de Paulo Port… (cont) http://deck.ly/~pTOiF"	
E assim foi...Paulo Portas atirou com o Passos para um canto" ... Coitadito! E inda vai ter que levar com o Sócrates."	
É Passos Coelho que pode tirar Sócrates do poder. Não é Paulo Portas. Basta notar como os socráticos neste debate estão por Portas.	
E quando Portas lhe perguntou o que levava no regaço, Passos Coelho respondeu: São impostos, senhor!...	
E se a sondagem tivesse sido feita depois do debate entre Passos e Portas?: Sondagem da Intercampus para PÚBLICO e TVI http://bit.ly/jVVMp6	
E vais votar Sócrates, certo?  RT @ZW3I: Este #debate serviu para eu preferir o Passos Coelho ao Paulo Portas. #sic	
Economia - Passos Coelho acusa Sócrates de fugir à realidade da recessão no primeiro trimestre do ano: O candida... http://bit.ly/k6XYwI	
Eleições: Estamos nesta campanha para enfrentar a crise, como sempre fez o PS" diz José Sócrates http://bit.ly/l42rNJ #Algarve"	
Eleições: Francisco Louçã acusa Passos Coelho e Paulo Portas de dividirem o país &#34	como se fosse uma pizza&#34
Eleições: José Sócrates apontou a Educação como “principal batalha do Governo” http://dstk.me/OmN	
Eleições: Passos Coelho acusa José Sócrates de apostar numa &#34	estratégia de medo&#34
Eleições: Portas propõe reduzir deputados para 115, Passos responde que isso é irrealista http://ow.ly/1cExhD	
Em impreparação, é uma sumidade. RT @bytoke: I... é uma constatação. RT @JNegocios: Sócrates acusa líder do PSD de impreparação""	
Epíteto a José Sócrates http://t.co/eDfDVb0	
Estamos nesta campanha para enfrentar a crise, como sempre fez o PS - José Sócrates  (www.lusa.pt)	
estou sempre a ouvir portas a bater, vou ver e estão todas fechadas -.-	
Eu não diria melhor! “@Publico: Francisco Louçã acusa Passos e Portas de dividirem o país como se fosse uma pizza"” http://t.co/PQD5Kgl"	
Francisco Louçã acusa Passos Coelho e Paulo Portas de dividirem o país como se fosse uma ...: O líder do Bloco ... http://bit.ly/k1pCfa"	
José Sócrates garante que PS está nesta campanha para enfrentar crise http://p.ost.im/p/vUVcK	
José Sócrates voltou, hoje, no distrito do Porto a autodenominar-se salvador do estado social. http://fb.me/12pQ0YrbG	
José Sócrates: “Ganância pelo poder fez o PSD acrescentar à crise económica uma crise política” http://dstk.me/OmJ	
Lello acredita tanto nas promessas de Sócrates que acha que toda a população sabe inglês	
LOLOLOLOLOL RT @estrelaserrano PPC + à vontade c Nico do que C Portas	
Lusa_noticias: Portas propõe reduzir deputados para 115, Passos responde que isso é irrealista  (www.lusa.pt) http://p.ost.im/p/vkQAu	
Marketing Político sem muito dinheiro vs Paulo Portas CDS http://t.co/MxKd8yi	
Mas afinal José Sócrates tinha avisado...  a entrevista que ninguém levou a sério!  http://twitpic.com/4x6uv7	
mas não tira a gravata... RT @RitaMarrafadeC: Sócrates de mangas de camisa arregaçadas.	
Mas, enfim, deixemos Portas. Ele não é o adversário neste combate político. O PSD é o adversário de Portas, mas o contrário não é verdade.	
mm assim olha mais p passos do q olhou p sócrates	
Multidão aclama Sócrates em Matosinhos http://dlvr.it/RhK3P	
